id,type,parent_id,schema,name,parent_name,datatype,description,constraints,instances,text_sequence,instance_sequence,dataframe
entity_0,schema,,imdb,imdb,,,,,,,,
entity_1,table,entity_0,imdb,name_basics,,,"name.basics.tsv.gz
nconst (string) - alphanumeric unique identifier of the name/person
primaryName (string)â€“ name by which the person is most often credited
birthYear â€“ in YYYY format
deathYear â€“ in YYYY format if applicable, else '\N'
primaryProfession (array of strings)â€“ the top-3 professions of the person
knownForTitles (array of tconsts) â€“ titles the person is known for",,"nconst, primaryName, birthYear, deathYear, primaryProfession, knownForTitles","name_basics [nconst, primaryName, birthYear, deathYear, primaryProfession, knownForTitles]","name_basics: {nconst, primaryName, birthYear, deathYear, primaryProfession, knownForTitles}",0
entity_2,column,entity_1,imdb,nconst,name_basics,string,nconst (string) - alphanumeric unique identifier of the name/person,primary key,"nm0000004, nm0000005, nm0000006, nm0000007, nm0000008",nconst name_basics string primary key,"nconst: {nm0000004, nm0000005, nm0000006, nm0000007, nm0000008}",
entity_3,column,entity_1,imdb,primaryName,name_basics,string,primaryName (string)â€“ name by which the person is most often credited,,"John Belushi, Ingmar Bergman, Ingrid Bergman, Humphrey Bogart, Marlon Brando",primaryName name_basics string ,"primaryName: {John Belushi, Ingmar Bergman, Ingrid Bergman, Humphrey Bogart, Marlon Brando}",
entity_4,column,entity_1,imdb,birthYear,name_basics,yyyy,birthYear â€“ in YYYY format,,"1949, 1918, 1915, 1899, 1924",birthYear name_basics yyyy ,"birthYear: {1949, 1918, 1915, 1899, 1924}",
entity_5,column,entity_1,imdb,deathYear,name_basics,yyyy,"deathYear â€“ in YYYY format if applicable, else '\N'",,"1982, 2007, 1982, 1957, 2004",deathYear name_basics yyyy ,"deathYear: {1982, 2007, 1982, 1957, 2004}",
entity_6,column,entity_1,imdb,primaryProfession,name_basics,array of strings,primaryProfession (array of strings)â€“ the top-3 professions of the person,,"actor,writer,music_department, writer,director,actor, actress,producer,soundtrack, actor,producer,miscellaneous, actor,director,writer",primaryProfession name_basics array of strings ,"primaryProfession: {actor,writer,music_department, writer,director,actor, actress,producer,soundtrack, actor,producer,miscellaneous, actor,director,writer}",
entity_7,column,entity_1,imdb,knownForTitles,name_basics,array of tconsts,knownForTitles (array of tconsts) â€“ titles the person is known for,,"tt0072562,tt0077975,tt0080455,tt0078723, tt0050986,tt0069467,tt0050976,tt0083922, tt0034583,tt0038109,tt0036855,tt0038787, tt0034583,tt0043265,tt0033870,tt0037382, tt0078788,tt0068646,tt0047296,tt0070849",knownForTitles name_basics array of tconsts ,"knownForTitles: {tt0072562,tt0077975,tt0080455,tt0078723, tt0050986,tt0069467,tt0050976,tt0083922, tt0034583,tt0038109,tt0036855,tt0038787, tt0034583,tt0043265,tt0033870,tt0037382, tt0078788,tt0068646,tt0047296,tt0070849}",
entity_8,table,entity_0,imdb,title_akas,,,"title.akas.tsv.gz
titleId (string) - a tconst, an alphanumeric unique identifier of the title
ordering (integer) â€“ a number to uniquely identify rows for a given titleId
title (string) â€“ the localized title
region (string) - the region for this version of the title
language (string) - the language of the title
types (array) - Enumerated set of attributes for this alternative title. One or more of the following: ""alternative"", ""dvd"", ""festival"", ""tv"", ""video"", ""working"", ""original"", ""imdbDisplay"".
attributes (array) - Additional terms to describe this alternative title, not enumerated
isOriginalTitle (boolean) â€“ 0: not original title; 1: original title",,"titleId, ordering, title, region, language, types, attributes, isOriginalTitle","title_akas [titleId, ordering, title, region, language, types, attributes, isOriginalTitle]","title_akas: {titleId, ordering, title, region, language, types, attributes, isOriginalTitle}",1
entity_9,column,entity_8,imdb,titleId,title_akas,string,"titleId (string) - a tconst, an alphanumeric unique identifier of the title",primary key,"tt0000001, tt0000001, tt0000001, tt0000001, tt0000001",titleId title_akas string primary key,"titleId: {tt0000001, tt0000001, tt0000001, tt0000001, tt0000001}",
entity_10,column,entity_8,imdb,ordering,title_akas,integer,ordering (integer) â€“ a number to uniquely identify rows for a given titleId,unique,"4.0, 5.0, 6.0, 7.0, 8.0",ordering title_akas integer unique,"ordering: {4.0, 5.0, 6.0, 7.0, 8.0}",
