"id","reference","name","locality","country","location","altitude","wikipedia"
"int","varchar(255)","varchar(255)","varchar(255)","varchar(255)","varchar(255)","double","varchar(2083)"
"NOT NULL PRIMARY KEY auto_increment","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1","monza","Autodromo Nazionale Monza","Monza","Italy","Monza","162","https://en.wikipedia.org/wiki/Monza_Circuit"
"2","spa","Circuit de Spa-Francorchamps","Stavelot","Belgium","Stavelot","450","https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps"
"3","silverstone","Silverstone Circuit","Silverstone","UK","Silverstone","150","https://en.wikipedia.org/wiki/Silverstone_Circuit"
"4","montecarlo","Circuit de Monaco","Monte Carlo","Monaco","Monte Carlo","15","https://en.wikipedia.org/wiki/Circuit_de_Monaco"
"5","suzuka","Suzuka Circuit","Suzuka","Japan","Suzuka","52","https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course"
"6","interlagos","Autódromo José Carlos Pace","Sao Paulo","Brazil","Sao Paulo","750","https://en.wikipedia.org/wiki/Autódromo_José_Carlos_Pace"
"7","redbullring","Red Bull Ring","Spielberg","Austria","Spielberg","677","https://en.wikipedia.org/wiki/Red_Bull_Ring"
"8","albertpark","Albert Park Circuit","Melbourne","Australia","Melbourne","6","https://en.wikipedia.org/wiki/Albert_Park_Circuit"
"9","sochi","Sochi Autodrom","Sochi","Russia","Sochi","2","https://en.wikipedia.org/wiki/Sochi_Autodrom"
"10","cota","Circuit of the Americas","Austin","USA","Austin","183","https://en.wikipedia.org/wiki/Circuit_of_the_Americas"
