"id","reference","forename","surname","abbreviation","nationality","permanent_car_number","date_of_birth","wikipedia"
"int","varchar(255)","varchar(255)","varchar(255)","varchar(10)","varchar(255)","int","date","varchar(2083)"
"NOT NULL PRIMARY KEY auto_increment","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1","hamilton","Lewis","Hamilton","HAM","UK","44","1985-01-07","https://en.wikipedia.org/wiki/Lewis_Hamilton"
"2","verstappen","Max","Verstappen","VER","Netherlands","33","1997-09-30","https://en.wikipedia.org/wiki/Max_Verstappen"
"3","leclerc","Charles","Leclerc","LEC","Monaco","16","1997-10-16","https://en.wikipedia.org/wiki/Charles_Leclerc"
"4","russell","George","Russell","RUS","UK","63","1998-02-15","https://en.wikipedia.org/wiki/George_Russell_(racing_driver)"
"5","sainz","Carlos","Sainz","SAI","Spain","55","1994-09-01","https://en.wikipedia.org/wiki/Carlos_Sainz_Jr."
"6","norris","Lando","Norris","NOR","UK","4","1999-11-13","https://en.wikipedia.org/wiki/Lando_Norris"
"7","alonso","Fernando","Alonso","ALO","Spain","14","1981-07-29","https://en.wikipedia.org/wiki/Fernando_Alonso"
"8","ocon","Esteban","Ocon","OCO","France","31","1996-09-17","https://en.wikipedia.org/wiki/Esteban_Ocon"
"9","gasly","Pierre","Gasly","GAS","France","10","1996-02-07","https://en.wikipedia.org/wiki/Pierre_Gasly"
"10","tsunoda","Yuki","Tsunoda","TSU","Japan","22","2000-05-11","https://en.wikipedia.org/wiki/Yuki_Tsunoda"
