"id","championship_system","year","wikipedia"
"int","int","int","varchar(2083)"
"NOT NULL PRIMARY KEY auto_increment","NULL INDEX FOREIGN KEY REFERENCES championshipsystem(id)","NULL","NULL"
"1","1","2020","https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship"
"2","2","2021","https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship"
"3","3","2022","https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship"
"4","4","2023","https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship"
"5","1","2019","https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship"
"6","2","2018","https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship"
"7","3","2017","https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship"
"8","4","2016","https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship"
"9","1","2015","https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship"
"10","2","2014","https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship"
