cs_sold_date_sk,cs_sold_time_sk,cs_ship_date_sk,cs_bill_customer_sk,cs_bill_cdemo_sk,cs_bill_hdemo_sk,cs_bill_addr_sk,cs_ship_customer_sk,cs_ship_cdemo_sk,cs_ship_hdemo_sk,cs_ship_addr_sk,cs_call_center_sk,cs_catalog_page_sk,cs_ship_mode_sk,cs_warehouse_sk,cs_item_sk,cs_promo_sk,cs_order_number,cs_quantity,cs_wholesale_cost,cs_list_price,cs_sales_price,cs_ext_discount_amt,cs_ext_sales_price,cs_ext_wholesale_cost,cs_ext_list_price,cs_ext_tax,cs_coupon_amt,cs_ext_ship_cost,cs_net_paid,cs_net_paid_inc_tax,cs_net_paid_inc_ship,cs_net_paid_inc_ship_tax,cs_net_profit
2450815,38212,2450886,62153,1822764,5775,19986,62153,1822764,5775,19986,4,62,3,4,16930,196,1,47,27.7,44.32,42.99,62.51,2020.53,1301.9,2083.04,101.02,0,1041.52,2020.53,2121.55,3062.05,3163.07,718.63
2450815,38212,2450846,62153,1822764,5775,19986,62153,1822764,5775,19986,4,31,8,2,6020,270,1,20,87.55,260.89,153.92,2139.4,3078.4,1751,5217.8,71.41,1292.92,1356.6,1785.48,1856.89,3142.08,3213.49,34.48
2450815,38212,2450868,62153,1822764,5775,19986,62153,1822764,5775,19986,4,76,2,2,16198,97,1,19,69.86,88.72,29.27,1129.55,556.13,1327.34,1685.68,33.36,0,168.53,556.13,589.49,724.66,758.02,-771.21
2450815,38212,2450851,62153,1822764,5775,19986,62153,1822764,5775,19986,4,89,15,2,6200,284,1,50,70,205.1,188.69,820.5,9434.5,3500,10255,377.38,0,4307,9434.5,9811.88,13741.5,14118.88,5934.5
2450815,29485,2450863,14601,797995,6189,9583,14601,797995,6189,9583,1,19,1,4,13831,275,2,62,54.92,127.96,29.43,6108.86,1824.66,3405.04,7933.52,164.21,0,3173.16,1824.66,1988.87,4997.82,5162.03,-1580.38
2450815,29485,2450832,14601,797995,6189,9583,14601,797995,6189,9583,1,62,12,5,9248,43,2,37,70.56,88.2,23.81,2382.43,880.97,2610.72,3263.4,35.23,0,424.02,880.97,916.2,1304.99,1340.22,-1729.75
2450815,29485,2450842,14601,797995,6189,9583,14601,797995,6189,9583,1,9,19,4,15668,191,2,43,19.77,52.78,16.88,1543.7,725.84,850.11,2269.54,7.25,0,930.09,725.84,733.09,1655.93,1663.18,-124.27
2450815,29485,2450882,14601,797995,6189,9583,14601,797995,6189,9583,1,75,20,4,15992,182,2,19,70.17,136.12,96.64,750.12,1836.16,1333.23,2586.28,55.08,0,361.95,1836.16,1891.24,2198.11,2253.19,502.93
2450815,29485,2450870,14601,797995,6189,9583,14601,797995,6189,9583,1,44,6,3,12248,284,2,87,94.55,225.02,22.5,17619.24,1957.5,8225.85,19576.74,176.17,0,8417.25,1957.5,2133.67,10374.75,10550.92,-6268.35
2450815,29485,2450879,14601,797995,6189,9583,14601,797995,6189,9583,1,36,12,4,8770,216,2,9,41.57,52.37,44.51,70.74,400.59,374.13,471.33,16.02,0,98.91,400.59,416.61,499.5,515.52,26.46
