ws_sold_date_sk,ws_sold_time_sk,ws_ship_date_sk,ws_item_sk,ws_bill_customer_sk,ws_bill_cdemo_sk,ws_bill_hdemo_sk,ws_bill_addr_sk,ws_ship_customer_sk,ws_ship_cdemo_sk,ws_ship_hdemo_sk,ws_ship_addr_sk,ws_web_page_sk,ws_web_site_sk,ws_ship_mode_sk,ws_warehouse_sk,ws_promo_sk,ws_order_number,ws_quantity,ws_wholesale_cost,ws_list_price,ws_sales_price,ws_ext_discount_amt,ws_ext_sales_price,ws_ext_wholesale_cost,ws_ext_list_price,ws_ext_tax,ws_coupon_amt,ws_ext_ship_cost,ws_net_paid,ws_net_paid_inc_tax,ws_net_paid_inc_ship,ws_net_paid_inc_ship_tax,ws_net_profit
2451383,73313,2451482,4591,83074,596485,1096,40907,85919,41329,1140,1351,43,4,4,5,6,1,57,33.59,59.45,38.04,1220.37,2168.28,1914.63,3388.65,50.95,1149.18,575.7,1019.1,1070.05,1594.8,1645.75,-895.53
2451383,73313,2451411,3566,83074,596485,1096,40907,85919,41329,1140,1351,28,7,3,2,271,1,38,29.83,48.92,26.41,855.38,1003.58,1133.54,1858.96,30.1,0,910.86,1003.58,1033.68,1914.44,1944.54,-129.96
2451383,73313,2451413,7286,83074,596485,1096,40907,85919,41329,1140,1351,58,28,10,5,300,1,32,49.72,107.89,97.1,345.28,3107.2,1591.04,3452.48,124.28,0,828.48,3107.2,3231.48,3935.68,4059.96,1516.16
2451383,73313,2451393,2755,83074,596485,1096,40907,85919,41329,1140,1351,2,7,6,1,63,1,65,69.18,112.07,22.41,5827.9,1456.65,4496.7,7284.55,29.13,0,2476.5,1456.65,1485.78,3933.15,3962.28,-3040.05
2451383,73313,2451502,2516,83074,596485,1096,40907,85919,41329,1140,1351,56,16,2,5,18,1,58,36.62,41.38,16.13,1464.5,935.54,2123.96,2400.04,84.19,0,167.62,935.54,1019.73,1103.16,1187.35,-1188.42
2451383,73313,2451421,16966,83074,596485,1096,40907,85919,41329,1140,1351,50,7,2,2,185,1,90,72.05,161.39,27.43,12056.4,2468.7,6484.5,14525.1,74.06,0,4647.6,2468.7,2542.76,7116.3,7190.36,-4015.8
2451383,73313,2451457,10402,83074,596485,1096,40907,85919,41329,1140,1351,56,16,16,3,293,1,15,83.92,174.55,69.82,1570.95,1047.3,1258.8,2618.25,20.94,0,392.7,1047.3,1068.24,1440,1460.94,-211.5
2451383,73313,2451430,1735,83074,596485,1096,40907,85919,41329,1140,1351,25,19,14,3,202,1,16,45.27,128.56,68.13,966.88,1090.08,724.32,2056.96,87.2,0,370.24,1090.08,1177.28,1460.32,1547.52,365.76
2451383,73313,2451458,15464,83074,596485,1096,40907,85919,41329,1140,1351,13,26,8,5,49,1,54,53.45,60.39,26.57,1826.28,1434.78,2886.3,3261.06,48.78,215.21,488.7,1219.57,1268.35,1708.27,1757.05,-1666.73
2452625,34964,2452675,8925,42296,436090,2684,37278,57428,1447713,3907,30901,12,6,20,2,107,2,37,37.65,63.25,37.31,959.78,1380.47,1393.05,2340.25,124.24,0,537.98,1380.47,1504.71,1918.45,2042.69,-12.58
2452625,34964,2452716,11041,42296,436090,2684,37278,57428,1447713,3907,30901,55,30,9,1,253,2,100,17.1,47.7,28.62,1908,2862,1710,4770,28.62,0,1192,2862,2890.62,4054,4082.62,1152
2452625,34964,2452715,645,42296,436090,2684,37278,57428,1447713,3907,30901,36,3,6,2,171,2,27,79.79,225,58.5,4495.5,1579.5,2154.33,6075,15.79,0,1822.5,1579.5,1595.29,3402,3417.79,-574.83
2452625,34964,2452729,12453,42296,436090,2684,37278,57428,1447713,3907,30901,19,27,18,5,289,2,68,36.43,109.29,103.82,371.96,7059.76,2477.24,7431.72,0,0,1411.68,7059.76,7059.76,8471.44,8471.44,4582.52
2452625,34964,2452741,13831,42296,436090,2684,37278,57428,1447713,3907,30901,6,12,19,2,75,2,18,35.69,102.78,99.69,55.62,1794.42,642.42,1850.04,17.94,0,73.98,1794.42,1812.36,1868.4,1886.34,1152
2452625,34964,2452725,9559,42296,436090,2684,37278,57428,1447713,3907,30901,49,15,11,1,54,2,74,19.15,57.45,57.45,0,4251.3,1417.1,4251.3,170.05,0,807.34,4251.3,4421.35,5058.64,5228.69,2834.2
2452625,34964,2452743,8085,42296,436090,2684,37278,57428,1447713,3907,30901,12,13,5,1,294,2,13,89.1,134.54,55.16,1031.94,717.08,1158.3,1749.02,64.53,0,174.85,717.08,781.61,891.93,956.46,-441.22
2452625,34964,2452702,12081,42296,436090,2684,37278,57428,1447713,3907,30901,9,13,16,3,267,2,47,49.64,68.99,12.41,2659.26,583.27,2333.08,3242.53,52.49,0,1134.58,583.27,635.76,1717.85,1770.34,-1749.81
2452625,34964,2452638,15739,42296,436090,2684,37278,57428,1447713,3907,30901,1,13,16,2,221,2,12,7.24,12.16,11.91,3,142.92,86.88,145.92,10,0,29.16,142.92,152.92,172.08,182.08,56.04
2451754,1529,2451774,17431,74800,1219525,3450,3375,84180,1487225,5550,41475,14,20,7,5,246,3,6,45.21,67.36,30.31,222.3,181.86,271.26,404.16,16.36,0,185.88,181.86,198.22,367.74,384.1,-89.4
2451754,1529,2451819,4694,74800,1219525,3450,3375,84180,1487225,5550,41475,56,11,3,5,237,3,43,9.62,13.08,9.02,174.58,387.86,413.66,562.44,19.39,0,117.82,387.86,407.25,505.68,525.07,-25.8
