web_site_sk,web_site_id,web_rec_start_date,web_rec_end_date,web_name,web_open_date_sk,web_close_date_sk,web_class,web_manager,web_mkt_id,web_mkt_class,web_mkt_desc,web_market_manager,web_company_id,web_company_name,web_street_number,web_street_name,web_street_type,web_suite_number,web_city,web_county,web_state,web_zip,web_country,web_gmt_offset,web_tax_percentage
1,AAAAAAAABAAAAAAA,1997-08-16,,site_0,2450807,,Unknown,Ronald Shaffer,4,Grey lines ought to result indeed centres. Tod,"Well similar decisions used to keep hardly democratic, personal priorities.",Joe George,6,cally,51,Dogwood Sunset,Ln,Suite 330,Midway,Williamson County,TN,31904,United States,-5.00,0.10
2,AAAAAAAACAAAAAAA,1997-08-16,2000-08-15,site_0,2450798,2447148,Unknown,Tommy Jones,6,Otherwise simple years account as senior ,Results shall not encourage interesting colours,David Myers,4,ese,358,Ridge Wilson,Cir.,Suite 150,Midway,Williamson County,TN,31904,United States,-5.00,0.00
3,AAAAAAAACAAAAAAA,2000-08-16,,site_0,2450798,2447148,Unknown,Tommy Jones,3,Otherwise simple years account as senior ,"Old, secure files drive external rats; large, recent years might not look really angry ch",Robert Ly,4,ese,358,7th ,Pkwy,Suite 210,Midway,Williamson County,TN,31904,United States,-5.00,0.02
4,AAAAAAAAEAAAAAAA,1997-08-16,1999-08-16,site_0,2450781,2448956,Unknown,Harold Wilson,5,Open arms shall make sports. Dates ,Never chief police must consider therefor,James Harris,5,anti,805,Hill Hill,Dr.,Suite R,Midway,Williamson County,TN,31904,United States,-5.00,0.08
5,AAAAAAAAEAAAAAAA,1999-08-17,2001-08-15,site_0,2450781,2448956,Unknown,Michael Shade,1,Open arms shall make sports. Dates ,Sincerely secondary events could pump famous projects. Successes,Edward George,1,ought,805,2nd 3rd,Road,Suite R,Fairview,Williamson County,TN,31904,United States,-5.00,0.08
6,AAAAAAAAEAAAAAAA,2001-08-16,,site_0,2450781,2448956,Unknown,Michael Shade,1,Open arms shall make sports. Dates ,Patients can maintain. Radical names may bear private procee,John Sheppard,1,ought,805,Hickory 3rd,Ct.,Suite 130,Fairview,Williamson County,TN,35709,United States,-5.00,0.08
7,AAAAAAAAHAAAAAAA,1997-08-16,,site_1,2450756,,Unknown,Moses Hicks,4,"Reports protect more northern, wide other",Foreign pp. buy already standards. Never common things make more options. Enough unkn,William Reyes,4,ese,784,Central ,Dr.,Suite Q,Fairview,Williamson County,TN,35709,United States,-5.00,0.12
8,AAAAAAAAIAAAAAAA,1997-08-16,2000-08-15,site_1,2450747,2448922,Unknown,Charles Parker,1,Years arrest quite different contexts; ani,"Most thinking programmes appear however scottish, national products. Women might get o",Gerald Craft,5,anti,835,Washington ,Avenue,Suite 470,Midway,Williamson County,TN,31904,United States,-5.00,0.07
9,AAAAAAAAIAAAAAAA,2000-08-16,,site_1,2450747,2448922,Unknown,Charles Parker,1,Years arrest quite different contexts; ani,"Most thinking programmes appear however scottish, national products. Women might get o",Gerald Craft,5,anti,303,11th ,Cir.,Suite R,Midway,Williamson County,TN,31904,United States,-5.00,0.09
10,AAAAAAAAKAAAAAAA,1997-08-16,1999-08-16,site_1,2450730,2447080,Unknown,Dwight Aaron,3,Rural profits shall go trousers. New homes comm,"Above possible winners shall add sure, beneficial others",Frank Cooper,2,able,409,Lake ,Ct.,Suite 370,Midway,Williamson County,TN,31904,United States,-5.00,0.07
