l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1,155190,7706,1,17,21168.23,0.04,0.02,N,O,3/13/1996,2/12/1996,3/22/1996,DELIVER IN PERSON,TRUCK,to beans x-ray carefull
1,67310,7311,2,36,45983.16,0.09,0.06,N,O,4/12/1996,2/28/1996,4/20/1996,TAKE BACK RETURN,MAIL, according to the final foxes. qui
1,63700,3701,3,8,13309.6,0.1,0.02,N,O,1/29/1996,3/5/1996,1/31/1996,TAKE BACK RETURN,REG AIR,ourts cajole above the furiou
1,2132,4633,4,28,28955.64,0.09,0.06,N,O,4/21/1996,3/30/1996,5/16/1996,NONE,AIR,s cajole busily above t
1,24027,1534,5,24,22824.48,0.1,0.04,N,O,3/30/1996,3/14/1996,4/1/1996,NONE,FOB," the regular, regular pa"
1,15635,638,6,32,49620.16,0.07,0.02,N,O,1/30/1996,2/7/1996,2/3/1996,DELIVER IN PERSON,MAIL,rouches. special 
2,106170,1191,1,38,44694.46,0,0.05,N,O,1/28/1997,1/14/1997,2/2/1997,TAKE BACK RETURN,RAIL,re. enticingly regular instruct
3,4297,1798,1,45,54058.05,0.06,0,R,F,2/2/1994,1/4/1994,2/23/1994,NONE,AIR,s cajole above the pinto beans. iro
3,19036,6540,2,49,46796.47,0.1,0,R,F,11/9/1993,12/20/1993,11/24/1993,TAKE BACK RETURN,RAIL,ecial pinto beans. sly
3,128449,3474,3,27,39890.88,0.06,0.07,A,F,1/16/1994,11/22/1993,1/23/1994,DELIVER IN PERSON,SHIP,e carefully fina
3,29380,1883,4,2,2618.76,0.01,0.06,A,F,12/4/1993,1/7/1994,1/1/1994,NONE,TRUCK,ackages boost across 
3,183095,650,5,28,32986.52,0.04,0,R,F,12/14/1993,1/10/1994,1/1/1994,TAKE BACK RETURN,FOB,heodolites haggle blit
3,62143,9662,6,26,28733.64,0.1,0.02,A,F,10/29/1993,12/18/1993,11/4/1993,TAKE BACK RETURN,RAIL,telets x-ray quickly mult
4,88035,5560,1,30,30690.9,0.03,0.08,N,O,1/10/1996,12/14/1995,1/18/1996,DELIVER IN PERSON,REG AIR,s. even ideas are above the accounts. 
5,108570,8571,1,15,23678.55,0.02,0.04,R,F,10/31/1994,8/31/1994,11/20/1994,NONE,AIR,arefully regular t
5,123927,3928,2,26,50723.92,0.07,0.08,R,F,10/16/1994,9/25/1994,10/19/1994,NONE,FOB, theodolites. slyly pending dolphins 
5,37531,35,3,50,73426.5,0.08,0.03,A,F,8/8/1994,10/13/1994,8/26/1994,DELIVER IN PERSON,AIR,odolites. bold accounts alo
6,139636,2150,1,37,61998.31,0.08,0.03,A,F,4/27/1992,5/15/1992,5/2/1992,TAKE BACK RETURN,TRUCK,ly silent ideas! carefull
7,182052,9607,1,12,13608.6,0.07,0.03,N,O,5/7/1996,3/13/1996,6/3/1996,TAKE BACK RETURN,FOB,"bout the silent, ironic sentim"
7,145243,7758,2,9,11594.16,0.08,0.08,N,O,2/1/1996,3/2/1996,2/19/1996,TAKE BACK RETURN,SHIP,ic packages slee
7,94780,9799,3,46,81639.88,0.1,0.07,N,O,1/15/1996,3/27/1996,2/3/1996,COLLECT COD,MAIL,accounts. reque
7,163073,3074,4,28,31809.96,0.03,0.04,N,O,3/21/1996,4/8/1996,4/20/1996,NONE,FOB,ng theodolites run furiously. 
7,151894,9440,5,38,73943.82,0.08,0.01,N,O,2/11/1996,2/24/1996,2/18/1996,DELIVER IN PERSON,TRUCK,"he final, daring excuses. furiously eve"
7,79251,1759,6,35,43058.75,0.06,0.03,N,O,1/16/1996,2/23/1996,1/22/1996,TAKE BACK RETURN,FOB,ely pending deposits. quietly unusual requ
7,157238,2269,7,5,6476.15,0.04,0.02,N,O,2/10/1996,3/26/1996,2/13/1996,NONE,FOB,ithely about 
32,82704,7721,1,28,47227.6,0.05,0.08,N,O,10/23/1995,8/27/1995,10/26/1995,TAKE BACK RETURN,TRUCK,y final gifts cajo
32,197921,441,2,32,64605.44,0.02,0,N,O,8/14/1995,10/7/1995,8/27/1995,COLLECT COD,AIR, accounts. deposits sleep ironicall
32,44161,6666,3,2,2210.32,0.09,0.02,N,O,8/7/1995,10/7/1995,8/23/1995,DELIVER IN PERSON,AIR,lets. furiously ironic platelets boost 
32,2743,7744,4,4,6582.96,0.09,0.03,N,O,8/4/1995,10/1/1995,9/3/1995,NONE,REG AIR, platelets x-ray 
32,85811,8320,5,44,79059.64,0.05,0.06,N,O,8/28/1995,8/20/1995,9/14/1995,DELIVER IN PERSON,AIR,as are bold requests. quickly regular brai
32,11615,4117,6,6,9159.66,0.04,0.03,N,O,7/21/1995,9/23/1995,7/25/1995,COLLECT COD,RAIL,ly final asymptotes. qui
33,61336,8855,1,31,40217.23,0.09,0.04,A,F,10/29/1993,12/19/1993,11/8/1993,COLLECT COD,TRUCK,uctions. slyly pending requests ca
