o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1,36901,O,173665.47,1/2/1996,5-LOW,Clerk#000000951,0,ly express platelets. deposits acc
2,78002,O,46929.18,12/1/1996,1-URGENT,Clerk#000000880,0,ve the furiously fluffy dependencies. carefully regular 
3,123314,F,193846.25,10/14/1993,5-LOW,Clerk#000000955,0, after the asymptotes. instructions cajole after the foxes. carefully unu
4,136777,O,32151.78,10/11/1995,5-LOW,Clerk#000000124,0,st the furiously bold pinto beans. furiously pending theodolites cajol
5,44485,F,144659.2,7/30/1994,5-LOW,Clerk#000000925,0,onic requests. carefully daring foxes among the carefu
6,55624,F,58749.59,2/21/1992,4-NOT SPECIFIED,Clerk#000000058,0,furiously ironic accounts haggle blithely carefully regular de
7,39136,O,252004.18,1/10/1996,2-HIGH,Clerk#000000470,0,", ironic packages wa"
32,130057,O,208660.75,7/16/1995,2-HIGH,Clerk#000000616,0,"ly about the carefully express theodolites. ironic, iron"
33,66958,F,163243.98,10/27/1993,3-MEDIUM,Clerk#000000409,0," careful, regular courts. unusual"
34,61001,O,58949.67,7/21/1998,3-MEDIUM,Clerk#000000223,0,osits according to the ideas are furiously final requests? slyly pe
35,127588,O,253724.56,10/23/1995,4-NOT SPECIFIED,Clerk#000000259,0,ing dugouts alongside of the silently ironi
36,115252,O,68289.96,11/3/1995,1-URGENT,Clerk#000000358,0,kages sleep after the furiously regular accounts. slyly eve
37,86116,F,206680.66,6/3/1992,3-MEDIUM,Clerk#000000456,0,aggle carefully. fluffily ironic packages integrate slyly blit
38,124828,O,82500.05,8/21/1996,4-NOT SPECIFIED,Clerk#000000604,0,counts. blithely express packages cajole fluffily. fluffily regular courts na
39,81763,O,341734.47,9/20/1996,3-MEDIUM,Clerk#000000659,0,accounts since the pending dugou
64,32113,F,39414.99,7/16/1994,3-MEDIUM,Clerk#000000661,0,lly according to the pending dinos. carefully bold depths det
65,16252,P,110643.6,3/18/1995,1-URGENT,Clerk#000000632,0,"ounts sleep against the regular foxes. deposits nag express, express foxes. f"
66,129200,F,103740.67,1/20/1994,5-LOW,Clerk#000000743,0, regular ideas. evenly unusu
67,56614,O,169405.01,12/19/1996,4-NOT SPECIFIED,Clerk#000000547,0," furiously ironic foxes play across the even, si"
68,28547,O,330793.52,4/18/1998,3-MEDIUM,Clerk#000000440,0,ess packages. ironically final accounts nag. special instructions haggle acc
69,84487,F,197689.49,6/4/1994,4-NOT SPECIFIED,Clerk#000000330,0,ions haggle carefully about the quickly bold theodolites-- furiously final f
70,64340,F,113534.42,12/18/1993,5-LOW,Clerk#000000322,0,ly ironic deposits mainta
71,3373,O,276992.74,1/24/1998,4-NOT SPECIFIED,Clerk#000000271,0,uffily quiet instructions! unusual request
96,107779,F,68989.9,4/17/1994,2-HIGH,Clerk#000000395,0,excuses boost boldly 
97,21061,F,110512.84,1/29/1993,3-MEDIUM,Clerk#000000547,0,structions. doggedly even dependencies are along the furiously busy hock
98,104480,F,69168.33,9/25/1994,1-URGENT,Clerk#000000448,0,s x-ray slyly. blithely regular deposits detect slyly unusua
99,88910,F,112126.95,3/13/1994,4-NOT SPECIFIED,Clerk#000000973,0,against the bold pinto beans are bli
100,147004,O,187782.63,2/28/1998,4-NOT SPECIFIED,Clerk#000000577,0,phins against the blithely regular requests 
101,27998,O,124906.11,3/17/1996,3-MEDIUM,Clerk#000000419,0,e slyly after the packages. carefully express
102,716,O,164529.1,5/9/1997,2-HIGH,Clerk#000000596,0,ld deposits. carefully special deposits along the requests boost carefully iro
103,29101,O,126990.79,6/20/1996,4-NOT SPECIFIED,Clerk#000000090,0,fully unusual foxes. deposits wake slyly among the furiously
128,73957,F,66195.16,6/15/1992,1-URGENT,Clerk#000000385,0,uriously unusual attainments sleep. furiously even attainments sublate slyly a
129,71134,F,261013.14,11/19/1992,5-LOW,Clerk#000000859,0,r theodolites. regular platelets believe furiously bold foxes. final the
130,36964,F,189484.12,5/8/1992,2-HIGH,Clerk#000000036,0,riously final theodolites sleep carefully ironic instruc
